"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_DZGROUNDZERO_GROUNDZERO_CONTAINMENTKEY_NAME","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment-Schluessel","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment Key","GroundZero Containment Key"
"STR_DZGROUNDZERO_GROUNDZERO_CONTAINMENTKEY_DESC","Key for the final containment cache.","Key for the final containment cache.","Key for the final containment cache.","Schluessel fuer den finalen Containment-Cache.","Key for the final containment cache.","Key for the final containment cache.","Key for the final containment cache.","Key for the final containment cache.","Key for the final containment cache.","Key for the final containment cache.","Key for the final containment cache.","Key for the final containment cache.","Key for the final containment cache.","Key for the final containment cache."
"STR_DZGROUNDZERO_GROUNDZERO_RESEARCHCORE_NAME","GroundZero Research Core","GroundZero Research Core","GroundZero Research Core","GroundZero Forschungskern","GroundZero Research Core","GroundZero Research Core","GroundZero Research Core","GroundZero Research Core","GroundZero Research Core","GroundZero Research Core","GroundZero Research Core","GroundZero Research Core","GroundZero Research Core","GroundZero Research Core"
"STR_DZGROUNDZERO_GROUNDZERO_RESEARCHCORE_DESC","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Schwerer Forschungskern aus dem Final Cache. Seltenes Event- und Kampagnenitem.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item.","Heavy research core from the final cache. Rare event and campaign item."
"STR_DZGROUNDZERO_DZGZ_GENERATORSPARKPLUG_NAME","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator-Zuendmodul","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module","GroundZero Generator Ignition Module"
"STR_DZGROUNDZERO_DZGZ_GENERATORSPARKPLUG_DESC","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Spezialteil fuer die GroundZero-Generatorreparatur. Wird durch die Hold-Zone freigeschaltet und soll nicht normal spawnen.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally.","Special part for the GroundZero generator repair. Unlocked by the hold zone and should not spawn normally."
"STR_DZGROUNDZERO_DZGZ_ENCRYPTEDRESEARCHDATA_NAME","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero verschluesselte Forschungsdaten","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data","GroundZero Encrypted Research Data"
"STR_DZGROUNDZERO_DZGZ_ENCRYPTEDRESEARCHDATA_DESC","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extrahierte Terminaldaten aus GroundZero. Kann spaeter OperationDeutschZ-Hinweise freischalten.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later.","Extracted terminal data from GroundZero. May unlock OperationDeutschZ clues later."
"STR_DZGROUNDZERO_DZGZ_CONTAMINATEDSAMPLE_NAME","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero kontaminierte Probe","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero Contaminated Sample","GroundZero Contaminated Sample"
"STR_DZGROUNDZERO_DZGZ_CONTAMINATEDSAMPLE_DESC","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Versiegelte kontaminierte Probe. Nur fuer Event-, Trader- und Kampagnenlogik gedacht.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic.","Sealed contaminated sample. Intended only for event, trader and campaign logic."
"STR_DZGROUNDZERO_DZGZ_SIGNALCORE_NAME","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signalkern","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signal Core","GroundZero Signal Core"
"STR_DZGROUNDZERO_DZGZ_SIGNALCORE_DESC","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Geborgener Signalkern aus einer GroundZero-Anlage. Hochwertiges OperationDeutschZ-Verbindungsitem.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item.","Recovered signal core from a GroundZero facility. High-value OperationDeutschZ link item."
"STR_DZGROUNDZERO_DZ_GROUNDZERO_CONTAMINATEDDATACORE_NAME","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero kontaminierter Datenkern","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core","DeutschZ GroundZero Contaminated Data Core"
"STR_DZGROUNDZERO_DZ_GROUNDZERO_CONTAMINATEDDATACORE_DESC","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Kontaminierter Datenkern aus der GroundZero-Zone. Event-only Reward- und Questitem.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item.","Contaminated data core from the GroundZero zone. Event-only reward and quest item."
"STR_DZGROUNDZERO_DZ_GROUNDZERO_SAMPLE_NAME","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Probe","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample","DeutschZ GroundZero Sample"
"STR_DZGROUNDZERO_DZ_GROUNDZERO_SAMPLE_DESC","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Gesicherte Probe aus einer GroundZero-Zone. Nur fuer Event-, Admin- und Traderlogik vorgesehen.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic.","Secured sample from a GroundZero zone. Intended only for event, admin and trader logic."
"STR_DZGROUNDZERO_DZ_GROUNDZERO_REACTORCODE_NAME","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reaktorcode","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code","DeutschZ GroundZero Reactor Code"
"STR_DZGROUNDZERO_DZ_GROUNDZERO_REACTORCODE_DESC","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Verschluesselter Reaktorcode fuer GroundZero-Trigger und spaetere Missionslogik.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic.","Encrypted reactor code for GroundZero triggers and later mission logic."
"STR_DZGROUNDZERO_DZ_GROUNDZERO_EVACUATIONORDER_NAME","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evakuierungsbefehl","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order","DeutschZ GroundZero Evacuation Order"
"STR_DZGROUNDZERO_DZ_GROUNDZERO_EVACUATIONORDER_DESC","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Befehl zur Evakuierung einer kontaminierten Zone. Event-only Dokument.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document.","Order to evacuate a contaminated zone. Event-only document."
"STR_DZGROUNDZERO_DZ_GROUNDZERO_MILITARYACCESSCARD_NAME","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Militaer-Zugangskarte","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card","DeutschZ GroundZero Military Access Card"
"STR_DZGROUNDZERO_DZ_GROUNDZERO_MILITARYACCESSCARD_DESC","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Militaerische Zugangskarte fuer GroundZero-Sperrzonen und Rewardlogik.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic.","Military access card for GroundZero restricted zones and reward logic."
"STR_DZGROUNDZERO_DZ_GROUNDZERO_ZONEARTIFACT_NAME","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zonenartefakt","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact","DeutschZ GroundZero Zone Artifact"
"STR_DZGROUNDZERO_DZ_GROUNDZERO_ZONEARTIFACT_DESC","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Seltenes Artefakt aus einer GroundZero-Zone. Hochwertiges Event-only Rewarditem.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item.","Rare artifact from a GroundZero zone. High-value event-only reward item."
"STR_DZGROUNDZERO_LAYOUT_DZ_GROUNDZERO","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero","DeutschZ GroundZero"
"STR_DZGROUNDZERO_LAYOUT_SIGNALSTATION_AKTIV","Signal station active","Signal station active","Signal station active","Signalstation aktiv","Signal station active","Signal station active","Signal station active","Signal station active","Signal station active","Signal station active","Signal station active","Signal station active","Signal station active","Signal station active"
"STR_DZGROUNDZERO_LAYOUT_SPIELER_IM_BEREICH_0_FORTSCHRITT_0_0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Spieler im Bereich: 0 | Fortschritt: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0","Players in area: 0 | Progress: 0 / 0"
