"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_DZKOTHZ_DZKOTHZ_ACCESSCARD_NAME","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Zugangskarte","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card","DeutschZ KotHZ Access Card"
"STR_DZKOTHZ_DZKOTHZ_ACCESSCARD_DESC","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","KotHZ-Zugangskarte auf PunchedCard-Basis.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card.","PunchedCard based KotHZ access card."
"STR_DZKOTHZ_DZKOTHZ_RESEARCHDOCUMENT_NAME","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Forschungsdokument","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document","DeutschZ KotHZ Research Document"
"STR_DZKOTHZ_DZKOTHZ_RESEARCHDOCUMENT_DESC","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Klassifiziertes Forschungsdokument aus einer Infected-Siege-Zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone.","Classified research document from an Infected Siege zone."
"STR_DZKOTHZ_DZKOTHZ_COMMANDERINSIGNIA_NAME","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander-Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia","DeutschZ KotHZ Commander Insignia"
"STR_DZKOTHZ_DZKOTHZ_COMMANDERINSIGNIA_DESC","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Sichtbar ueberarbeitetes rotes DeutschZ Commander-Insignia fuer den Mummy-Boss und KotHZ Rewards. Nutzt bewusst nicht mehr die normale PunchedCard-Optik.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look.","Visibly reworked red DeutschZ commander insignia for the Mummy boss and KotHZ rewards. Intentionally no longer uses the normal PunchedCard look."
"STR_DZKOTHZ_DZ_KOTHZ_SIEGETOKEN_NAME","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege-Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token","DeutschZ KotHZ Siege Token"
"STR_DZKOTHZ_DZ_KOTHZ_SIEGETOKEN_DESC","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only Nachweis fuer eine abgeschlossene KotHZ-Belagerung. Fuer Rewards, Adminspawn oder Trader nutzbar; kein normaler Mapspawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn.","Event-only proof of a completed KotHZ siege. Usable for rewards, admin spawn or traders; no normal map spawn."
"STR_DZKOTHZ_DZ_KOTHZ_INFECTEDSAMPLE_NAME","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infiziertenprobe","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample","DeutschZ KotHZ Infected Sample"
"STR_DZKOTHZ_DZ_KOTHZ_INFECTEDSAMPLE_DESC","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Versiegelte Probe aus einer KotHZ-Zone. Trigger- oder Questitem fuer Infected-Siege-Logik.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic.","Sealed sample from a KotHZ zone. Trigger or quest item for infected siege logic."
"STR_DZKOTHZ_DZ_KOTHZ_BOSSTROPHY_NAME","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss-Trophaee","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy","DeutschZ KotHZ Boss Trophy"
"STR_DZKOTHZ_DZ_KOTHZ_BOSSTROPHY_DESC","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Seltene Trophaee aus der Bossphase. Rewarditem fuer erfolgreiche KotHZ-Abschluesse.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions.","Rare trophy from the boss phase. Reward item for successful KotHZ completions."
"STR_DZKOTHZ_DZ_KOTHZ_CONTROLCHIP_NAME","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Kontrollchip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip","DeutschZ KotHZ Control Chip"
"STR_DZKOTHZ_DZ_KOTHZ_CONTROLCHIP_DESC","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technischer Kontrollchip fuer KotHZ-Eventsignale und spaetere Quest-/Adminlogik.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic.","Technical control chip for KotHZ event signals and later quest/admin logic."
"STR_DZKOTHZ_DZ_KOTHZ_BLOODYZBADGE_NAME","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Blutiges Z-Abzeichen","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge","DeutschZ KotHZ Bloody Z Badge"
"STR_DZKOTHZ_DZ_KOTHZ_BLOODYZBADGE_DESC","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Blutiges rotes DeutschZ-Abzeichen aus einer KotHZ-Zone. Event-only Sammler- und Rewarditem.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item.","Bloody red DeutschZ badge from a KotHZ zone. Event-only collector and reward item."
"STR_DZKOTHZ_LAYOUT_KOTH","KOTH","KOTH","KOTH","KOTH","KOTH","KOTH","KOTH","KOTH","KOTH","KOTH","KOTH","KOTH","KOTH","KOTH"
"STR_DZKOTHZ_LAYOUT_DZ_KOTH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH","DeutschZ KotH"
"STR_DZKOTHZ_LAYOUT_KOTH_READY","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready","KOTH ready"
"STR_DZKOTHZ_LAYOUT_SPIELER_0_ZEIT_0_00_0_00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Spieler: 0 | Zeit: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00","Players: 0 | Time: 0:00 / 0:00"
